tech_survey_start_date,tech_survey_end_date,id_respondent,tech_consent,ses_citizenship,tech_yob_quota,tech_age_screening,ses_gender,ses_province,ses_education,op_democracy_satisfaction,op_most_important_issue_text,op_most_important_local_issue_text,op_important_issue_party_other_text,op_important_local_issue_party_other_text,behav_vote_choice_other_text,behav_vote_choice_pr_other_text,behav_vote_unlikely_other_text,behav_vote_unlikely_pr_other_text,behav_vote_advance_other_text,behav_vote_lean_other_text,behav_vote_lean_pr_other_text,behav_second_choice_other_text,behav_second_choice_pr_other_text,behav_not_vote_for_other_text,op_political_interest,op_election_interest,op_important_issue_best_party,op_important_local_issue_best_party,behav_vote_choice,behav_vote_choice_pr,behav_vote_unlikely_choice,behav_vote_unlikely_pr_choice,behav_advance_vote_choice,behav_vote_lean,behav_vote_lean_pr,behav_second_choice_party,behav_second_choice_party_pr,behav_vote_likelihood,behav_vote_likelihood_pr,op_federal_government_satisfaction,op_most_important_issue_overflow1,op_most_important_issue_overflow2,op_most_important_issue_overflow3,op_most_important_issue_overflow4,op_most_important_issue_overflow5,op_party_best_issue_other_text,op_most_important_local_issue_overflow1,op_most_important_local_issue_overflow2,op_most_important_local_issue_overflow3,op_party_best_local_issue_other_text,behav_not_vote_liberal,behav_not_vote_conservative,behav_not_vote_ndp,behav_not_vote_bloc,behav_not_vote_green,behav_not_vote_peoples,behav_not_vote_other_party,behav_could_vote_any_party,behav_not_vote_dont_know,op_party_rating_liberal,op_party_rating_conservative,op_party_rating_ndp,op_party_rating_bloc,op_party_rating_green,op_party_rating_peoples,op_leader_rating_trudeau,op_leader_rating_scheer,op_leader_rating_singh,op_leader_rating_blanchet,op_leader_rating_may,op_leader_rating_bernier,op_candidate_rating_liberal,op_candidate_rating_conservative,op_candidate_rating_ndp,op_candidate_rating_bloc,op_candidate_rating_green,op_candidate_rating_peoples,op_ideology_self_placement,op_ideology_liberal,op_ideology_conservative,op_ideology_ndp,op_ideology_bloc,op_ideology_green,op_ideology_peoples,op_ideology_self_placement_post,op_leader_intelligent_trudeau,op_leader_intelligent_scheer,op_leader_intelligent_singh,op_leader_intelligent_blanchet,op_leader_intelligent_may
13787712000.0,13787712000.0,R_1OpYXEFGzHRUpjM,1.0,canadian_citizen,70.0,,female,province_quebec,master_degree,0.667,environnement,logement,,,,,,,,,,,,,0.9,0.9,green_party_canada,new_democratic_party,green_party_canada,,,,,,,liberal_party_canada,,1.0,,0.333,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0.52,0.0,0.64,,0.97,0.0,0.55,0.0,0.71,0.15,0.8,0.0,0.58,0.0,0.69,0.0,0.76,0.0,,0.5,0.9,0.3,0.5,0.2,1.0,0.2,1,0,1,0,1
13787712000.0,13787712000.0,R_2qdrL3J618rxYW0,1.0,canadian_citizen,79.0,,female,province_quebec,master_degree,,environnement,logement,,,,,,,,,,,,,0.6,0.6,green_party_canada,new_democratic_party,,,,,,,,new_democratic_party,,1.0,,0.333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.51,0.0,0.64,0.4,0.88,0.0,0.53,0.0,,0.32,0.59,0.0,,,0.64,,0.88,,,,,,0.5,,,0.2,0,0,0,0,0
13787712000.0,13787712000.0,R_USWDAPcQEQiMmNb,1.0,canadian_citizen,81.0,,female,province_ontario,some_university,0.667,,,,,,,,,,,,,,,0.8,0.8,,,liberal_party_canada,,,,,,,new_democratic_party,,1.0,,0.667,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0.52,0.49,,,,,0.74,0.24,0.63,,0.56,0.2,,,,,,,0.4,0.3,0.7,0.4,,0.4,0.9,,1,0,0,0,0
13787712000.0,13787712000.0,R_3IQaeDXy0tBzEry,1.0,canadian_citizen,79.0,,male,province_ontario,some_university,0.667,strengthening foreign relations,,,,,,,,,,,,,,0.8,0.8,conservative_party_canada,,conservative_party_canada,,,,,,,,,1.0,,0.333,,,,,,,,,,,0,0,1,0,1,0,0,0,0,0.3,0.85,0.0,0.0,0.0,0.3,0.0,0.8,0.0,0.0,0.0,0.1,0.0,0.8,0.0,,0.0,0.0,0.7,0.5,0.7,0.2,0.5,0.4,0.9,,0,1,0,0,0
13787712000.0,13787712000.0,R_27WeMQ1asip2cMD,1.0,canadian_citizen,81.0,,female,province_ontario,completed_secondary,0.667,Taxation and Government Spending,Education,,,,,,,,,,,,,0.8,0.6,8.0,conservative_party_canada,,,,,,,,,,1.0,,0.333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.2,0.62,0.51,0.2,0.5,0.2,0.3,0.6,,0.5,0.6,0.3,,,,,,,0.4,0.4,0.7,,0.8,0.1,0.7,,0,1,1,0,0
13787712000.0,13787712000.0,R_3LiGZcCWJEcWV4P,1.0,canadian_citizen,80.0,,female,province_ontario,some_university,0.667,,,,,,,,,,,,,,,0.8,0.9,,,liberal_party_canada,,,,,,,green_party_canada,,1.0,,0.667,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0.81,0.31,0.79,,0.85,0.0,0.81,0.35,0.7,,0.74,0.03,0.76,0.28,,,,,0.4,0.4,0.6,0.3,0.6,0.3,0.8,,1,0,1,1,1
13787712000.0,13787712000.0,R_1Iu8R1UlYzVMycz,1.0,permanent_resident,79.0,,female,province_ontario,completed_secondary,0.667,Immigration Issues,,,,,,,,,,,,,,1.0,0.5,8.0,,,new_democratic_party,,,,,,,green_party_canada,,1.0,0.333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.71,0.41,0.87,0.51,0.63,0.73,0.66,0.6,0.79,0.51,0.59,0.56,0.4,0.14,0.56,,0.56,0.63,0.8,0.1,0.9,,0.5,0.5,,,1,0,1,0,1
13787712000.0,13787712000.0,R_2EcS26hqrcVYlab,1.0,canadian_citizen,79.0,,female,province_ontario,some_university,0.667,Environmental issues,,,,,,,,,,,,,,0.8,1.0,new_democratic_party,,liberal_party_canada,,,,,,,new_democratic_party,,1.0,,0.667,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.72,0.0,0.82,0.51,1.0,0.72,1.0,0.0,1.0,0.51,1.0,,,,,,,,,0.0,1.0,0.0,0.9,0.0,,0.2,0,0,1,0,1
13787712000.0,13787712000.0,R_3yrt44wqQ1d4VRn,1.0,canadian_citizen,79.0,,female,province_ontario,some_university,0.667,Climate Change,,,,,,,,,,,,,,1.0,0.9,green_party_canada,,,,,,,,,new_democratic_party,,1.0,,0.333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.75,0.39,0.88,0.42,0.7,0.39,0.7,0.32,0.85,,0.6,,,,,,,,0.2,0.5,0.8,0.1,,0.3,,,1,1,1,1,1
13787712000.0,13787712000.0,R_10OBmXJyvn8feYQ,1.0,canadian_citizen,81.0,,male,province_ontario,completed_secondary,0.667,Minimum Wage,,,,,,,,,,,,,,0.6,0.3,liberal_party_canada,,liberal_party_canada,,,,,,,new_democratic_party,,0.75,,0.667,,,,,,,,,,,0,0,0,0,0,1,0,0,0,1.0,0.4,0.95,0.0,0.8,0.1,1.0,0.2,0.85,0.1,0.75,0.1,0.9,0.3,0.75,,0.6,0.1,0.6,0.7,0.1,0.6,0.2,,0.3,,1,0,1,0,1
13787712000.0,13787712000.0,R_2e5nvu0UchQctgq,1.0,canadian_citizen,81.0,,female,province_ontario,completed_secondary,0.667,,affordable housing,,,,,,,,,,,,,0.7,0.6,,new_democratic_party,new_democratic_party,,,,,,,liberal_party_canada,,0.75,,0.0,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0.57,0.57,0.71,0.0,0.17,0.0,0.26,0.19,0.94,0.0,0.0,0.0,0.23,0.17,0.56,,0.0,0.0,,0.1,0.9,0.3,,,,0.4,0,0,1,0,0
13787712000.0,13787712000.0,R_2OJdv16hkRGnjOn,1.0,canadian_citizen,79.0,,female,province_ontario,some_university,0.667,Climate change/environmental issues,,,,,,,,,,,,,,0.9,1.0,green_party_canada,,conservative_party_canada,,,,,,,,,1.0,,0.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.2,0.9,0.4,0.59,0.6,,0.1,0.8,0.3,,0.4,,0.2,0.7,0.3,,0.4,0.51,0.6,0.3,0.8,0.2,0.7,0.3,0.2,,0,1,0,0,1
13787712000.0,13787712000.0,R_3F5wpLvNlRtNQuK,1.0,canadian_citizen,80.0,,male,province_ontario,completed_secondary,0.667,climate related issues,,,,,,,,,,,,,,0.8,0.7,green_party_canada,,liberal_party_canada,,,,,,,new_democratic_party,,0.75,,0.667,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.78,0.37,0.76,0.25,0.72,0.4,0.75,0.39,0.61,0.52,0.48,0.47,0.71,0.32,0.76,,0.62,0.52,0.2,0.4,0.8,0.3,0.7,0.2,0.0,,0,0,0,0,0
13787712000.0,13787712000.0,R_3j7fAVYfVCewi3H,1.0,canadian_citizen,81.0,,female,province_ontario,some_university,0.667,Climate Change,Monopoly on Telecommunications that makes phone bills unnecessarily high,,,,,,,,,,,,,1.0,1.0,green_party_canada,new_democratic_party,liberal_party_canada,,,,,,,new_democratic_party,,1.0,,0.667,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.83,0.02,0.92,0.01,0.81,0.0,0.85,0.0,0.96,0.0,0.88,0.0,0.8,0.03,0.77,,0.65,0.0,0.0,0.3,0.8,0.2,0.8,0.2,1.0,,1,0,1,0,1
13787712000.0,13787712000.0,R_3nNxsyTE4FFk1qD,1.0,canadian_citizen,79.0,,male,province_ontario,some_university,0.667,"economic opportunities to young people, specifically reducing barriers to owning property.",,,,,,,,,,,,,,,0.4,liberal_party_canada,,liberal_party_canada,,,,,,,green_party_canada,,1.0,,0.667,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.8,0.2,0.66,0.2,0.73,0.05,0.75,0.24,0.8,0.16,0.87,,0.93,0.3,0.85,,0.74,0.15,,0.3,0.6,0.2,0.5,0.3,0.8,0.2,1,0,1,0,1
13787712000.0,13787712000.0,R_2yscDHNVwXYrmZO,1.0,canadian_citizen,81.0,,female,province_ontario,completed_secondary,0.667,Making sure youth voices are heard and our problems are assessed,,,,,,,,,,,,,,0.7,0.5,green_party_canada,,liberal_party_canada,,,,,,,green_party_canada,,0.75,,0.333,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0.78,0.0,0.66,,0.96,,0.72,0.02,0.82,,0.89,,0.8,,,,0.87,,0.2,0.1,0.9,0.3,,0.1,,,1,0,1,0,1
13787712000.0,13787712000.0,R_1XR26kb471tt8rL,1.0,canadian_citizen,81.0,,female,province_ontario,completed_secondary,0.667,Carbon Tax,,,,,,,,,,,,,,0.7,0.8,liberal_party_canada,,liberal_party_canada,,,,,,,new_democratic_party,,1.0,,0.667,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0.95,0.0,0.97,,0.7,,0.75,0.2,0.7,0.4,0.4,0.4,0.95,0.3,0.75,,,,0.2,0.0,1.0,0.4,0.7,0.3,,,0,0,0,0,0
13787712000.0,13787712000.0,R_ABEKO3wGyEEpVy9,1.0,canadian_citizen,81.0,,female,province_ontario,completed_secondary,0.667,Climate Change,OSAP,,,,,,,,,,,,,0.8,0.8,green_party_canada,liberal_party_canada,green_party_canada,,,,,,,liberal_party_canada,,1.0,,0.667,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0.8,0.0,0.72,0.19,0.93,0.3,0.67,0.0,,0.08,0.87,0.17,,,,,,,0.3,0.4,0.9,0.4,0.8,0.4,,,1,1,1,0,1
13787712000.0,13787712000.0,R_1plJZdZH9ohyW6i,1.0,canadian_citizen,81.0,,female,province_ontario,some_university,0.667,Climate Change,,,,,,,,,,,,,,1.0,1.0,green_party_canada,,green_party_canada,,,,,,,new_democratic_party,,1.0,,0.333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.35,0.0,0.95,0.0,1.0,0.0,0.05,0.0,0.85,0.0,1.0,0.0,,,,,,0.5,0.3,0.7,1.0,0.2,0.9,0.1,1.0,,0,0,1,0,1
13787712000.0,13787712000.0,R_12r93bwCcrge7qz,1.0,canadian_citizen,79.0,,female,province_ontario,some_university,0.667,,MIN WAGE,,,,,,,,,,,,,0.8,0.6,,new_democratic_party,,,new_democratic_party,,,,,,,0.5,,0.333,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0.71,0.29,0.92,0.51,0.66,0.51,0.6,0.35,0.92,,0.78,,,,,,,,,0.0,1.0,0.0,,0.0,,0.1,0,0,1,0,1
13787712000.0,13787712000.0,R_brdMqsPTvQ5t1tL,1.0,canadian_citizen,81.0,,female,province_ontario,completed_secondary,0.667,ABORTION RIGHTS,,,,,,,,,,,,,,0.8,0.8,liberal_party_canada,,new_democratic_party,,,,,,,liberal_party_canada,,1.0,,0.333,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0.72,0.27,0.81,0.51,0.71,0.51,0.57,0.39,0.85,0.51,0.71,0.54,0.61,0.55,0.84,,0.67,0.55,,0.6,0.4,0.7,0.5,0.8,0.6,0.6,0,0,0,0,1
13787712000.0,13787712000.0,R_Wumhl7QEMURFqZH,1.0,canadian_citizen,81.0,,male,province_ontario,completed_secondary,0.667,immigration,public transport,,,,,,,,,,,,,0.9,0.8,conservative_party_canada,liberal_party_canada,conservative_party_canada,,,,,,,green_party_canada,,1.0,,0.333,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0.29,0.8,0.65,0.0,0.9,0.15,0.17,0.78,0.4,0.0,0.89,0.08,,,,,,,,0.4,0.6,0.3,0.3,0.3,0.9,0.6,1,1,1,0,1
13787712000.0,13787712000.0,R_3pb4vBiIdfyAWiM,1.0,canadian_citizen,76.0,,male,province_ontario,some_university,0.667,Affordable Housing,,,,,,,,,,,,,,0.9,0.9,liberal_party_canada,,liberal_party_canada,,,,,,,,,1.0,,0.667,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1.0,0.59,,0.01,0.61,0.41,0.8,0.6,0.57,0.2,0.72,0.43,1.0,0.66,0.34,,0.57,0.21,0.4,0.5,0.7,0.3,0.6,0.1,0.8,,0,0,0,0,0
13787712000.0,13787712000.0,R_ekyQEoYoeM4wSnT,1.0,canadian_citizen,80.0,,female,province_ontario,some_university,0.667,Education Funding and Carbon tax,minimum wage,,,,,,,,,,,,,0.8,0.7,liberal_party_canada,new_democratic_party,liberal_party_canada,,,,,,,new_democratic_party,,1.0,,0.667,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.8,0.0,0.69,0.0,0.34,0.3,0.83,0.38,0.65,0.34,0.37,0.37,0.87,0.0,0.8,,0.11,0.11,,0.1,0.9,0.2,0.9,0.0,0.3,0.1,0,0,1,0,0
13787712000.0,13787712000.0,R_1IFNIX3MUwugUnq,1.0,canadian_citizen,81.0,,female,province_ontario,completed_secondary,0.667,cost of living,,,,,,,,,,,,,,0.9,1.0,liberal_party_canada,,,,,,,,,green_party_canada,,1.0,,0.333,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0.65,0.65,0.27,0.06,0.91,0.39,0.4,0.23,0.35,0.36,0.78,0.44,0.65,0.27,0.3,,0.78,,,0.1,0.7,0.4,0.6,0.4,0.5,0.4,0,0,0,0,1
13787712000.0,13787712000.0,R_2D1btcWaARAVdfl,1.0,permanent_resident,81.0,,female,province_ontario,some_university,0.667,,,,,,,,,,,,,,,0.8,0.8,,,,liberal_party_canada,,,,,,,new_democratic_party,,1.0,0.667,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.89,0.09,0.78,0.39,0.63,0.11,0.75,,0.86,,,,0.86,0.12,0.11,,0.22,0.18,,,,,,,,0.1,1,0,1,0,0
13787712000.0,13787712000.0,R_3EH051N9vLmOOHM,1.0,canadian_citizen,81.0,,female,province_ontario,completed_secondary,0.667,climate change,,,,,,,,,,,,,,1.0,1.0,green_party_canada,,liberal_party_canada,,,,,,,conservative_party_canada,,1.0,,0.333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.86,0.89,0.02,0.01,0.12,0.0,0.0,0.82,1.0,0.0,0.05,0.0,0.75,0.74,0.07,,0.13,0.0,1.0,,,0.4,,,,,0,0,1,0,0
13787712000.0,13787712000.0,R_3CTxtRUVlnuZwR9,1.0,permanent_resident,78.0,,female,province_ontario,some_secondary,0.667,,PEOPLE ON STREET- POVERTY,,,,,,,,,,,,,0.7,0.4,,liberal_party_canada,,liberal_party_canada,,,,,,,new_democratic_party,,1.0,0.667,,,,,,,,,,,0,0,0,0,1,0,0,0,0,1.0,0.79,0.57,0.31,0.41,0.39,1.0,1.0,0.62,0.42,1.0,0.61,0.9,0.64,0.74,,0.33,0.6,,1.0,0.6,0.3,0.6,0.7,0.8,1.0,1,0,0,0,0
