id_respondent,weight_main,ses_gender,ses_age,ses_age_category,ses_language,ses_ethnicity,ses_education,ses_income_household,ses_occupation,ses_region,ses_born_canada,ses_marital_status,ses_union_member,ses_household_size,ses_homeowner,ses_children_home,ses_religion,ses_religiosity,ses_region_administrative,tech_sample_type,ses_spouse_union_member,op_interest_politics,op_follow_campaign,op_care_election_outcome,op_satisfaction_democracy,op_trust_government,op_politics_too_complicated,behav_vote_turnout_2007,behav_vote_choice_provincial,behav_vote_choice_federal,behav_vote_certainty,behav_vote_decision_timing,behav_vote_considered_other_party,behav_campaign_interest,behav_vote_frequency,behav_contacted_by_party,behav_tried_convince_others,behav_attended_political_events,behav_political_donation,behav_signed_petition,behav_boycott_products,behav_protest_participation,behav_union_household,behav_party_identification_provincial,behav_party_identification_federal,op_rating_leader_1,op_rating_leader_2,op_rating_leader_3,op_rating_leader_4,op_rating_leader_5,op_rating_entity_1,op_rating_entity_2,op_rating_entity_3,op_rating_entity_4,op_rating_entity_5,op_rating_institution_1,op_rating_institution_2,op_sovereignty,op_referendum_vote,op_referendum_certainty,op_issue_position_1,op_issue_position_2,op_issue_position_3,op_attitude_1,op_attitude_2,op_voting_duty,op_attitude_4,op_government_responsiveness,op_mps_lose_touch,op_attitude_7,op_attitude_8,op_government_intervention,op_left_right_position,op_redistribution,op_environment_economy,op_attitude_minorities,op_immigration_level,op_attitude_13,op_attitude_14,op_attitude_15,op_attitude_16,op_attitude_17,op_issue_importance_1,op_issue_importance_2,op_issue_importance_3
1,0.1873806416988372,male,64.0,55_64,french,canadian_quebecois,college_cegep,over_150k,employed,3,1.0,widowed,0.0,2_persons,0.0,no_children,,,montreal,type_1,1.0,1.0,1.0,0.67,0.67,1.0,0.67,1.0,plq,ndp,0.67,0.75,1.0,0.67,0.5,0.67,0.67,0.67,1.0,,0.0,0.67,0.0,,,0.75,0.25,0.25,0.0,0.05,0.5,0.0,0.5,,,0.0,1.0,0.0,1.0,0.0,0.67,0.33,0.67,1.0,1.0,1.0,0.0,1.0,0.67,1.0,0.67,1.0,0.8,0.6,,0.6,0.8,0.8,0.8,1.0,0.6,1.0,0.17,0.67,0.67
2,0.9654632806777954,male,57.0,55_64,french,canadian_quebecois,college_cegep,under_20k,student,26,1.0,widowed,1.0,3_4_persons,1.0,no_children,protestant,1.0,other_regions,type_1,,1.0,1.0,0.67,1.0,1.0,0.67,0.0,plq,other,0.67,0.75,0.67,0.0,1.0,0.33,0.33,0.33,1.0,0.0,1.0,0.67,0.0,,,0.05,0.8,0.8,0.5,0.5,0.0,0.1,0.7,,,0.5,0.5,0.0,1.0,0.67,1.0,1.0,0.67,0.33,0.33,0.33,0.33,0.67,0.33,0.33,0.33,0.8,0.6,0.8,0.2,0.8,0.6,0.8,0.8,0.8,0.8,0.8,0.67,0.67,0.67
3,1.1757395267486572,male,69.0,65_plus,french,canadian_quebecois,college_cegep,20k_to_40k,self_employed,14,1.0,common_law,,2_persons,0.0,children_under_18,other_christian,0.5,other_regions,type_1,,1.0,1.0,0.67,0.67,0.67,0.67,1.0,adq,conservative,0.33,1.0,0.67,0.67,1.0,0.33,0.33,0.33,1.0,0.0,1.0,0.33,1.0,pq,ndp,0.3,0.5,0.6,0.5,0.5,0.25,0.4,0.7,0.4,0.4,0.7,0.7,0.0,1.0,0.67,0.67,,0.67,0.33,0.67,1.0,0.67,0.67,0.33,0.67,0.33,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.67,0.67,0.67
4,0.6555481553077698,female,52.0,45_54,french,canadian_quebecois,college_cegep,40k_to_60k,employed,16,1.0,common_law,,3_4_persons,0.0,no_children,,,other_regions,type_1,0.0,1.0,0.67,0.67,0.0,0.67,,1.0,pq,liberal,0.0,0.75,0.67,0.0,1.0,1.0,,0.67,1.0,0.0,1.0,0.67,1.0,pq,green,0.25,0.5,0.1,0.5,0.5,0.6,0.45,0.8,0.8,0.8,0.75,0.5,0.0,1.0,0.33,,1.0,0.33,,0.33,1.0,0.0,0.33,0.67,0.67,0.33,,,,0.2,0.4,0.6,0.8,0.8,,,,1.0,,0.5
5,1.1757395267486572,male,66.0,65_plus,french,other,graduate,under_20k,self_employed,6,1.0,widowed,,3_4_persons,0.0,no_children,,,montreal,type_1,1.0,1.0,0.67,0.33,1.0,0.33,0.33,1.0,qs,other,0.33,0.5,0.33,0.67,0.5,1.0,1.0,0.0,,0.0,1.0,0.33,0.0,other,,0.4,0.25,0.3,0.0,0.3,0.5,0.01,0.35,0.0,0.35,0.2,0.2,1.0,1.0,0.0,0.67,1.0,0.33,0.67,1.0,0.33,0.33,0.67,0.33,0.67,0.0,0.4,,0.6,0.2,0.4,0.6,0.8,0.8,1.0,1.0,0.6,1.0,0.5,0.67
6,3.324955463409424,male,24.0,18_24,french,canadian_quebecois,bachelor,40k_to_60k,student,26,1.0,divorced_separated,0.0,3_4_persons,0.0,children_under_18,other_religion,0.5,monteregie,type_1,,1.0,1.0,1.0,1.0,0.67,1.0,0.0,adq,bloc,0.67,1.0,0.67,0.33,0.5,0.33,0.67,0.33,1.0,0.0,0.0,0.67,1.0,,,0.7,0.7,0.5,0.8,0.8,0.5,0.5,0.4,0.7,0.7,0.0,0.7,1.0,1.0,0.33,0.67,1.0,0.33,0.67,0.33,0.33,0.0,1.0,0.67,0.33,0.0,0.8,0.8,0.8,0.2,0.8,0.6,0.8,0.8,0.8,0.8,0.8,1.0,0.33,1.0
7,0.5535573959350586,female,57.0,55_64,french,canadian_quebecois,high_school,20k_to_40k,employed,14,1.0,married,1.0,1_person,1.0,no_children,protestant,0.5,monteregie,type_1,,1.0,1.0,0.67,1.0,1.0,0.67,1.0,plq,bloc,0.67,1.0,0.67,1.0,1.0,0.33,1.0,0.33,1.0,0.0,0.0,0.67,1.0,,,0.5,0.8,0.8,0.7,0.8,0.6,0.8,0.8,0.7,0.6,0.9,0.9,1.0,0.0,0.67,0.67,1.0,0.0,0.33,0.33,1.0,0.0,1.0,0.67,0.67,1.0,1.0,0.8,1.0,0.2,0.8,0.6,0.8,0.8,1.0,0.8,1.0,,,0.67
8,0.9346079230308532,male,61.0,55_64,french,canadian_quebecois,high_school,20k_to_40k,self_employed,4,1.0,married,1.0,5_plus_persons,1.0,children_under_18,protestant,0.5,other_regions,type_1,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,adq,liberal,0.67,1.0,0.67,0.0,1.0,1.0,1.0,0.67,0.0,,0.0,0.67,1.0,pq,ndp,0.0,0.7,0.7,0.0,0.4,0.0,0.6,0.8,0.3,0.4,1.0,0.9,0.0,1.0,0.0,1.0,0.67,0.0,0.33,0.67,1.0,0.0,0.0,0.0,0.33,0.0,0.6,0.8,0.8,0.2,0.4,0.6,0.8,0.8,1.0,1.0,0.6,1.0,0.67,0.67
9,0.212483525276184,female,57.0,55_64,french,canadian_quebecois,high_school,under_20k,homemaker,3,1.0,single,0.0,2_persons,0.0,children_18_plus,catholic,0.5,,type_1,,1.0,0.67,0.67,0.67,1.0,1.0,1.0,plq,ndp,0.67,1.0,0.67,0.67,0.5,0.33,0.33,0.67,1.0,,0.0,0.67,1.0,plq,ndp,0.8,0.0,0.75,0.0,0.0,0.9,0.0,0.8,0.6,,0.0,1.0,1.0,1.0,0.0,1.0,0.33,0.33,0.33,0.0,1.0,0.67,0.33,0.67,0.67,0.33,1.0,0.6,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0
10,0.2516313791275024,female,53.0,45_54,french,canadian_quebecois,high_school,100k_to_120k,employed,3,1.0,widowed,1.0,5_plus_persons,0.0,no_children,,,quebec_city,type_1,0.0,0.67,1.0,0.67,0.67,1.0,1.0,0.0,plq,ndp,0.0,1.0,0.67,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.67,1.0,,,0.45,0.0,0.75,0.0,0.0,0.55,0.0,0.8,,,0.55,0.45,0.0,1.0,0.0,0.67,0.67,0.67,0.33,1.0,0.33,,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.0,0.6,0.6,0.67,0.67,0.67
11,1.3550678491592407,male,30.0,25_34,french,canadian_quebecois,high_school,under_20k,employed,6,1.0,divorced_separated,1.0,5_plus_persons,1.0,no_children,protestant,0.5,other_regions,type_1,,0.67,1.0,0.67,1.0,0.33,0.67,1.0,plq,conservative,0.67,0.75,0.67,1.0,1.0,1.0,1.0,0.33,1.0,0.0,1.0,0.33,1.0,pq,bloc,0.2,0.8,0.5,0.6,0.6,0.1,0.7,0.5,0.4,0.4,0.6,0.5,0.0,1.0,1.0,1.0,0.67,1.0,0.33,0.67,1.0,0.67,1.0,0.33,0.0,0.0,0.8,0.6,0.8,0.8,0.6,0.6,0.8,0.8,0.8,0.8,0.6,0.83,0.67,0.67
