id_respondent,ses_region_administrative,ses_age_category,behav_vote_turnout_municipal_2021,behav_vote_method,op_covid_measures_easy_to_understand,op_covid_measures_reassuring,op_voting_ease,op_reason_not_vote_no_interest,op_reason_not_vote_lack_info,op_reason_not_vote_disliked_candidates,op_reason_not_vote_not_concerned,op_reason_not_vote_no_impact,op_reason_not_vote_lost_trust,op_reason_not_vote_too_busy,op_reason_not_vote_away,op_reason_not_vote_covid_concern,ses_gender,ses_language_home,ses_born_canada,ses_education,ses_occupation,ses_income_household,ses_household_type,weight_standard,weight_turnout_adjusted,op_reason_not_vote_other,behav_contacted_by_campaign,ses_homeowner,behav_considered_running,op_knowledge_candidates_names,op_knowledge_candidates_platforms,op_closeness_to_party,op_satisfaction_democracy_municipal,op_council_too_complicated,op_council_not_concerned_citizens,op_trust_council,op_citizens_can_influence,op_elected_reflect_diversity,op_council_decisions_impact,op_interest_municipal_politics,behav_vote_frequency_history,op_voting_duty_vs_choice,op_vote_makes_difference,op_voting_makes_proud,op_voting_important_to_others,op_frequency_discuss_politics,behav_volunteering_past_year,behav_civic_participation,op_sense_of_belonging,ses_years_in_municipality,op_barrier_running_salary,op_barrier_running_workload,op_barrier_running_recognition,op_barrier_running_incumbency,op_barrier_running_harassment
80,laurentides,65_plus,did_not_vote,,,,,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,male,french,1.0,bachelor,retired,,single_no_children,0.3640757203102112,0.5264613032341003,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.33,0.67,0.67,0.33,0.33,0.33,0.33,0.33,0.67,choice,0.33,0.33,0.67,0.67,never,,0.33,under_5_years,0.33,0.33,0.67,0.33,0.33
182,gaspesie_iles_de_la_madeleine,65_plus,did_not_vote,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,female,french,1.0,college_cegep,retired,20k_to_40k,single_no_children,0.5945723652839661,1.1169389486312866,1.0,1.0,1.0,0.0,1.0,0.5,0.33,0.67,0.67,0.33,0.33,0.67,0.67,0.67,0.33,0.33,choice,0.67,0.0,0.0,0.33,never,0.0,0.33,over_20_years,0.33,0.67,0.67,0.67,0.67
260,capitale_nationale,55_64,not_eligible,in_person,1.0,0.67,1.0,,,,,,,,,,male,french,1.0,high_school,retired,100k_to_120k,couple_no_children,2.2852814197540283,1.355144500732422,,0.0,1.0,0.0,1.0,0.5,0.33,0.67,0.33,0.67,0.67,1.0,0.67,0.33,1.0,0.0,choice,1.0,1.0,1.0,0.33,regularly,0.0,0.67,over_20_years,1.0,0.67,1.0,0.67,1.0
261,capitale_nationale,65_plus,not_eligible,in_person,0.67,1.0,0.67,,,,,,,,,,female,french,1.0,graduate,retired,80k_to_100k,single_no_children,3.2837791442871094,2.094901323318481,,0.0,1.0,0.0,1.0,0.5,0.67,0.67,0.33,0.33,0.67,0.33,0.67,0.33,1.0,0.0,choice,1.0,0.67,1.0,0.33,never,0.0,0.67,over_20_years,0.33,0.67,0.33,0.67,0.33
303,estrie,65_plus,not_eligible,in_person,1.0,1.0,1.0,,,,,,,,,,male,french,1.0,bachelor,retired,,couple_no_children,2.3592464923858643,1.502030611038208,,1.0,1.0,1.0,1.0,0.5,1.0,0.33,0.67,1.0,0.33,0.0,0.67,0.33,1.0,0.0,choice,1.0,1.0,1.0,0.0,regularly,1.0,1.0,over_20_years,0.0,0.67,0.67,0.67,0.33
333,montreal,65_plus,voted,,,,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,female,english,0.0,bachelor,retired,under_20k,single_no_children,3.3873515129089355,8.479063987731934,0.0,0.0,0.0,0.0,1.0,1.0,0.33,0.67,0.33,0.67,0.67,1.0,0.67,0.33,0.67,0.33,duty,0.67,0.67,0.67,0.67,never,0.0,0.33,over_20_years,0.33,1.0,0.33,0.67,0.33
597,laval,55_64,not_eligible,in_person,1.0,1.0,1.0,,,,,,,,,,female,french,1.0,high_school,retired,40k_to_60k,single_no_children,2.88539457321167,1.6561861038208008,,0.0,1.0,0.0,0.5,0.5,0.33,0.67,0.67,0.33,0.67,0.67,0.67,0.67,0.67,0.0,choice,0.67,0.67,0.67,0.33,occasionally,0.0,0.67,over_20_years,0.33,0.67,0.67,0.67,0.67
707,montreal,65_plus,voted,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,male,french,1.0,college_cegep,retired,20k_to_40k,single_no_children,2.3592464923858643,6.301305294036865,1.0,0.0,0.0,0.0,0.5,0.5,0.33,0.67,0.67,0.33,0.67,0.67,1.0,0.67,0.33,0.33,choice,0.0,0.33,0.0,0.67,never,0.0,0.33,over_20_years,0.33,0.67,1.0,0.33,0.67
747,montreal,35_44,not_eligible,in_person,1.0,0.67,1.0,,,,,,,,,,female,french,1.0,bachelor,employed,40k_to_60k,couple_with_children,1.80228853225708,0.854518711566925,,0.0,0.0,1.0,1.0,0.5,0.67,0.67,0.67,0.0,1.0,0.67,0.67,0.33,1.0,0.0,choice,0.67,1.0,0.67,0.0,occasionally,1.0,1.0,over_20_years,0.67,0.33,0.67,0.33,0.0
757,montreal,65_plus,not_eligible,in_person,1.0,1.0,0.33,,,,,,,,,,male,french,1.0,graduate,retired,40k_to_60k,single_no_children,2.3592464923858643,1.502030611038208,,1.0,0.0,0.0,1.0,1.0,1.0,0.67,0.67,0.0,0.67,0.67,0.67,0.33,1.0,0.0,choice,1.0,1.0,1.0,0.33,regularly,0.0,1.0,over_20_years,1.0,0.33,0.67,0.67,0.33
