id_respondent,tech_date_response,tech_language_survey,op_internet_voting,behav_internet_voting_intent,op_internet_voting_confidence,op_coercion_concern,op_privacy_concern,op_fraud_concern,op_turnout_increase,op_voting_ease,op_accuracy_improvement,ses_age_group,ses_gender,ses_region
10567060803,2019-11-05,french,0.667,0.0,0.333,0.667,0.0,1.0,0.667,1.0,0.333,18-24,female,outaouais
12092138363,2019-11-05,french,0.0,0.0,0.333,0.0,0.333,0.333,0.0,0.0,0.333,55-64,female,estrie
14900438248,2019-11-05,french,0.0,0.333,0.667,0.333,0.667,1.0,0.0,0.0,0.667,45-54,female,outaouais
15201230234,2019-11-05,french,0.667,0.0,0.667,0.667,,0.0,0.0,1.0,1.0,35-44,,
20926461877,2019-11-05,french,0.0,0.0,0.0,0.667,0.0,0.667,0.0,0.333,0.0,18-24,male,capitale_nationale
26354625344,2019-11-05,french,0.333,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.667,55-64,female,nord_du_quebec
26819166048,2019-11-05,french,0.667,0.667,0.667,,0.333,0.667,0.667,0.667,0.667,65+,male,monteregie
26937475364,2019-11-05,french,,,,,,,,,,,,mauricie
27292278393,2019-11-05,french,0.667,0.667,0.333,0.0,0.0,0.667,0.333,0.0,0.667,25-34,female,capitale_nationale
28276054454,2019-11-05,french,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.333,45-54,male,cote_nord
28467467054,2019-11-05,french,1.0,1.0,1.0,0.667,0.667,0.667,0.667,0.667,1.0,65+,male,chaudiere_appalaches
28870954820,2019-11-05,french,0.0,0.0,0.0,0.333,0.333,1.0,0.0,0.0,0.0,25-34,female,outaouais
34678941322,2019-11-05,french,0.667,0.667,1.0,0.333,0.333,0.667,0.667,,,45-54,male,nord_du_quebec
39090921845,2019-11-05,french,0.667,0.667,0.667,0.333,0.333,1.0,0.333,0.333,0.667,65+,male,outaouais
41940777738,2019-11-05,french,0.0,0.0,0.0,0.667,0.0,0.667,0.0,0.0,0.333,25-34,male,outaouais
43119472771,2019-11-05,french,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,35-44,female,chaudiere_appalaches
44111713523,2019-11-05,french,1.0,1.0,1.0,1.0,1.0,1.0,0.333,0.333,1.0,18-24,male,capitale_nationale
47101462338,2019-11-05,french,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.667,1.0,45-54,male,capitale_nationale
48106572042,2019-11-05,french,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.333,65+,male,outaouais
48991356049,2019-11-05,french,0.0,0.0,0.0,0.0,0.0,0.0,0.667,1.0,0.333,55-64,,
49687981172,2019-11-05,french,,,,0.667,0.667,0.667,0.667,0.333,,65+,female,abitibi_temiscamingue
50048498338,2019-11-05,french,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,65+,male,capitale_nationale
53841932851,2019-11-05,french,1.0,0.667,1.0,1.0,0.667,1.0,0.333,0.333,1.0,25-34,male,monteregie
56880015666,2019-11-05,french,1.0,1.0,1.0,1.0,,1.0,0.333,,0.0,18-24,male,
58198467735,2019-11-05,french,1.0,1.0,1.0,0.333,1.0,1.0,0.667,1.0,0.667,45-54,female,montreal
58942023255,2019-11-05,french,0.667,1.0,0.667,0.0,0.667,0.667,0.333,0.333,0.667,35-44,,cote_nord
58982366347,2019-11-05,french,0.333,0.0,0.667,0.0,0.667,0.667,0.667,0.333,0.667,55-64,female,chaudiere_appalaches
59494880638,2019-11-05,french,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.667,55-64,female,bas_saint_laurent
59849328734,2019-11-05,french,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,55-64,male,chaudiere_appalaches
60826167162,2019-11-05,french,0.0,0.333,0.333,1.0,1.0,1.0,0.333,0.333,0.0,25-34,male,
60934213637,2019-11-05,french,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,35-44,female,nord_du_quebec
62789972452,2019-11-05,french,0.667,0.333,0.667,0.333,0.333,1.0,0.667,0.333,1.0,25-34,male,
63322361765,2019-11-05,french,0.333,0.333,,0.0,0.333,0.667,0.0,0.0,0.333,35-44,female,montreal
65836749349,2019-11-05,french,0.0,0.0,,0.0,0.333,1.0,0.333,0.0,0.333,18-24,male,capitale_nationale
67837150890,2019-11-05,french,0.667,0.667,0.667,0.333,0.333,0.667,0.667,0.667,0.667,65+,male,abitibi_temiscamingue
69539288741,2019-11-05,french,1.0,1.0,1.0,0.0,1.0,1.0,0.667,0.667,1.0,45-54,male,outaouais
71255297476,2019-11-05,french,1.0,0.667,0.333,0.0,0.333,1.0,0.0,1.0,0.667,35-44,female,estrie
73408098635,2019-11-05,french,1.0,1.0,1.0,0.0,0.667,1.0,0.667,0.667,1.0,55-64,female,nord_du_quebec
73714990911,2019-11-05,french,0.0,0.0,0.333,0.0,0.333,0.667,0.333,0.0,0.667,55-64,male,outaouais
78800820251,2019-11-05,french,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.333,18-24,female,cote_nord
80806741779,2019-11-05,french,0.667,0.667,1.0,1.0,0.667,0.667,1.0,0.667,0.667,55-64,male,abitibi_temiscamingue
83599336052,2019-11-05,french,,0.667,0.333,0.0,0.667,0.667,0.333,0.333,1.0,35-44,female,outaouais
87335244935,2019-11-05,french,0.333,0.333,0.333,0.0,0.333,0.333,0.0,0.0,0.667,65+,female,cote_nord
87345064290,2019-11-05,french,0.0,0.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,65+,male,centre_du_quebec
93776382002,2019-11-05,french,0.0,0.0,0.0,0.333,0.333,0.667,0.0,0.0,0.0,25-34,male,capitale_nationale
94684960946,2019-11-05,french,0.333,0.333,0.0,0.333,0.0,0.333,0.667,0.667,0.667,25-34,male,cote_nord
96993310663,2019-11-05,french,0.667,0.667,0.333,0.0,0.0,0.667,0.0,0.0,0.0,25-34,male,cote_nord
97684448988,2019-11-05,french,0.333,0.0,0.333,0.333,0.0,0.0,0.0,0.0,0.667,25-34,female,cote_nord
97858053094,2019-11-05,french,0.333,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,55-64,female,montreal
